"favorite_key","favorite_name","region","counties","scenario","source_type","system_or_category","sites_or_coverage","departments_or_channels","mode","monitorability","upgrade_required","source_url","notes"
"FL01","WA SAR & Mutual Aid","Statewide","All 39 counties","Public safety/SAR","conventional","WA SAR Net + LERN/FIRECOM/OSCCR/HEAR","Statewide, no location control","SAR1-5 155.160/155.2425/155.3025/155.1675/155.1825; LERN 155.370; FIRECOM/REDNET 153.830; OSCCR 156.135; HEAR 155.340; State Fire Tac 154.280","FM","Full - unencrypted","None","https://mil.wa.gov/asset/610b02188b53e","Always-on priority channels; core statewide SAR net"
"FL02","Nationwide Interop + WA STATEOPS","Statewide","All 39 counties","Interop","conventional FM/P25","NIFOG VCALL/VTAC + UCALL/UTAC + 7CALL/7TAC + 8CALL/8TAC + WA STATEOPS","Statewide receive/output and direct frequencies","VCALL10 155.7525;VTAC11-14 151.1375/154.4525/158.7375/159.4725;UCALL40 453.2125;UTAC41-43 453.4625/453.7125/453.8625;7CALL50 769.24375;7TAC51-54 769.14375/769.64375/770.14375/770.64375(P25);8CALL90 851.0125;8TAC91-94 851.5125/852.0125/852.5125/853.0125;STATEOPS1-5 852.5375/852.5625/852.5875/852.6125/852.6375 (PL156.7)","FM/NFM + P25","Full - calling channels unencrypted; tactical per NIFOG rules","None","https://mil.wa.gov/asset/6a1eeab054e7c/Washington-Field-Operations-Guide_FOG_1.10.pdf","Current post-rebanding NIFOG and WAFOG receive/output frequencies; old 866-868 MHz assignments are obsolete"
"FL03","WA CEMNET/EM Nets","Statewide","All 39 counties","Emergency management","conventional","CEMNET low-band VHF","Statewide, best in rural/mountainous terrain","CEMNET-1/2/3 45.200/45.360/45.480 (PL 127.3); CMD 46.520; RADEF 46.000","FM","Full - unencrypted, rare traffic","None","https://mil.wa.gov/asset/610097d704789","Low-band VHF (25-50MHz); active mainly during exercises/declared emergencies"
"FL04","WA State Patrol (WSP)","Statewide","All 39 counties","Public safety","trunked P25 Phase II","WSP SID 7971 (SysID 9CC, WACN BEE00)","Districts 1,2,4,6,7 statewide sites","District dispatch (D1 Pierce,D2 King,D4 Spokane/SE,D6 Wenatchee/Central,D7 Snohomish/NW); tactical/car-to-car","P25 Phase II","Dispatch mostly clear; some tactical encrypted","None (P25 native)","https://www.radioreference.com/db/sid/7971","Import full system via Sentinel; filter sites to travel region"
"FL05","WSDOT P25","Statewide","All 39 counties","Transportation","trunked P25 Phase II","WSDOT SID 10705 (WACN C7D5A)","NW/SW/NC/SC regions, statewide sites","Regional maintenance/ops; DOC transport patch; WSF interop patch to 151MHz","P25 Phase II","Full - generally clear","None (P25 native)","https://www.radioreference.com/db/sid/10705","Import full system; select regional talkgroup categories"
"FL06","WA DNR Wildfire","Statewide","All 39 counties","Wildfire","conventional","DNR statewide + regional repeaters","Statewide repeater network, seasonal (Jun-Oct peak)","DNR Main 159.420 (CSQ); DNR Common 151.415 (PL103.5); DNR Regional1-10 159.4125/159.4275/159.240/159.330/159.375/159.3675/159.315/159.435/159.450/159.345; AirGround1-7 151.310/151.340/151.385/151.2125/159.270/151.2875/156.0225","FM","Full - unencrypted","None","https://dnr.wa.gov/sites/default/files/2025-03/rp_fire_radio_channel_guide.pdf","Cooperators' detailed guide not public; request via radio@dnr.wa.gov"
"FL07","NIFC Federal Wildfire","Statewide (incident-deployed)","All 39 counties","Wildfire","conventional","National interagency wildfire cache (NIRSC)","Deployed to active incidents statewide","Air Guard 168.625 (mandatory); Command1-8 170.975/170.450/170.425/170.000/169.750/168.475/169.5375/170.0125; Air Tac1-5 166.6125/167.950/168.400/169.150/169.200; Flight Following 168.650; ICP 168.550; Region 6 Project Fire 170.125 (PL146.2)","FM","Full for cache freqs; incident freqs not public","None","https://www.nifc.gov/sites/default/files/NIICD/docs/2024_NIRSC_User_Guide_Webview.pdf","ICS-205 incident-specific frequencies are not published in advance"
"FL08","Justice Integrated Wireless Network (JIWN)","Statewide","Multi-county (King,Pierce,Thurston,Skagit,Lewis,Spokane,Yakima,Benton,Adams)","Federal law enforcement","trunked P25 Phase II","JIWN SID 3509 (WACN BEE0A)","Sites across King/Pierce/Thurston/Skagit/Lewis/Spokane/Yakima/Benton/Adams","FBI/HSI/ICE/CBP/US Marshals/FPS operations","P25 Phase II","Encrypted - nearly all TGs","None (P25 native)","https://www.radioreference.com/db/sid/3509","Import for affiliate visibility only; expect no audio"
"FL09a","Metro-King PSERN Fire/EMS/Transit","Western WA","King","Public safety","trunked P25 Phase II","PSERN SID 11628 (SysID 3AB)","Multi-site simulcast: Seattle/Eastside core, NE King, Seattle perimeter, South King, Mercer Island","Seattle Fire (SFD1-6); Fire Tactical; NORCOM Fire; ValleyCom Fire; Sound Transit ops/admin; KC Metro Transit ops; Public Works","P25 Phase II","Clear - fire/EMS/transit-ops/public-works","None (P25 native)","https://www.radioreference.com/db/sid/11628","Import whole system via Sentinel; GPS auto-affiliates sites"
"FL09b","Metro-King PSERN Law Enforcement","Western WA","King","Public safety","trunked P25 Phase II","PSERN SID 11628","Same PSERN sites as FL09a","SPD dispatch/tac; KCSO dispatch/tac; all municipal PD dispatch","P25 Phase II","Encrypted - all law enforcement","None (P25 native)","https://www.radioreference.com/db/sid/11628","Group in DQK0 [E]-ENCRYPTED and avoid; no audio expected"
