frequency_hz,frequency_mhz,swr,return_loss_db,resistance_ohm,reactance_ohm
12000000,12.0,4.060071289279576,4.368501825862863,103.33335992828437,-95.24606605484435
12001000,12.001,4.056670302828104,4.372320815616496,103.30697982729103,-95.15820239036915
12002000,12.002,4.0538740920258105,4.375465809597371,103.16810274744067,-95.0806531532745
12003000,12.003,4.0501989675894325,4.3796063806817624,103.07773828119917,-94.9828904810651
12004000,12.004,4.049068772951769,4.380881321313785,102.94646975567076,-94.94802543106083
12005000,12.005,4.042939763453583,4.3878085059640775,102.89060993936756,-94.78935595203495
12006000,12.006,4.040400674465037,4.390684816115703,102.8127705839116,-94.7210783368784
12007000,12.007,4.0360819163131545,4.395586012510371,102.71587963579837,-94.60657213452795
12008000,12.008,4.035565022118232,4.3961733651811326,102.59484585375311,-94.58773584678853
12009000,12.009,4.031895860914646,4.400347286469152,102.48644422885819,-94.48919693119095
12010000,12.01,4.025959867554444,4.40711705228759,102.43869685619082,-94.33580713274054
12011000,12.011,4.024222001779015,4.409103047500326,102.3270246698219,-94.28627756526886
12012000,12.012,4.019044456424943,4.415030685670217,102.24279320297256,-94.15044704142795
12013000,12.013,4.019512862003872,4.414493750491727,102.10332094563665,-94.15565916513624
12014000,12.014,4.0140402964623405,4.420775311757479,102.01756370698986,-94.0122671058683
12015000,12.015,4.0092838915499875,4.426249695969197,101.98895869131105,-93.88981137549705
12016000,12.016,4.007834425476375,4.427920713516164,101.86653165079329,-93.84701333780818
12017000,12.017,4.00264668235509,4.433911982000356,101.79114131640878,-93.71131294704935
12018000,12.018,4.002350608499689,4.4342544141738935,101.6531992416836,-93.69702767997448
12019000,12.019,3.996347771528548,4.441208829653339,101.56477006376963,-93.5399619040792
12020000,12.02,3.9929405014129027,4.445166149807292,101.53734042319343,-93.45189764229875
12021000,12.021,3.989928360114651,4.448670559369115,101.40384183147849,-93.36868709739623
12022000,12.022,3.9861215352682615,4.453107610942702,101.32607992281093,-93.26797318883851
12023000,12.023,3.98524027954231,4.454136049594267,101.19005473017296,-93.23876445182704
12024000,12.024,3.978867506443063,4.461587643395624,101.12727196064345,-93.07352149996653
12025000,12.025,3.9764482840983595,4.464423082270782,101.07698646419824,-93.00945567373621
12026000,12.026,3.9724024261925255,4.469173251330762,100.98207562945053,-92.90176478829436
12027000,12.027,3.9710294109701603,4.470787632465921,100.86155153093333,-92.86077816012438
12028000,12.028,3.96755574067327,4.474877275807075,100.75003416172433,-92.76676813807235
12029000,12.029,3.961823834965246,4.481642344793661,100.70195372658456,-92.61852148649874
