frequency_hz,frequency_mhz,office_s11_real,office_s11_imag,office_swr,office_resistance_ohm,office_reactance_ohm,outdoor_s11_real_interpolated,outdoor_s11_imag_interpolated,outdoor_swr_interpolated
1800050,1.80005,0.8415789974525001,0.242929897602,15.121176809441254,138.34497044692378,288.81665719041354,-0.48292887791111494,-0.41262882735516554,4.482501215778579
1801388,1.801388,0.8420933304615,0.24095696638949998,15.114599417109098,140.2609745697246,290.3278714484763,-0.48582793016754994,-0.41129264594243503,4.502754974749993
1802725,1.802725,0.8427837705435,0.23900755182400002,15.131489566072448,142.09829774453596,292.0369227286611,-0.48872481571826265,-0.4099574631705212,4.52334395147369
1804063,1.804063,0.8433322361045,0.237388871552,15.142907144326436,143.66022832186104,293.4412410232259,-0.49160250004599065,-0.40859342412660926,4.543777666699338
1805400,1.8054,0.8440682676394999,0.235161479569,15.157004460432464,145.85568683031488,295.37100883698446,-0.49442936373228863,-0.4071669529897702,4.563343625140734
1806738,1.806738,0.8451487413734999,0.233511850217,15.235715556388612,147.24592365986047,297.44195165161494,-0.4972583417519346,-0.40573941493360655,4.583267591987553
1808075,1.808075,0.8453778493049999,0.23130251466,15.187775154155664,149.74734824260935,298.80624307391867,-0.5000432502571163,-0.4043084399267674,4.60296783376403
1809413,1.809413,0.8464536570085,0.2293976336015,15.2585097570323,151.5050383223408,301.0477361384207,-0.5027988478423392,-0.40287302451366264,4.622603716141105
1810750,1.81075,0.8467917215125,0.227247114788,15.22769924925988,153.9675983602118,302.53618600236047,-0.5055523859375882,-0.4014386819072941,4.642562391884796
1812088,1.812088,0.8475902843105,0.225192405352,15.259552852529358,156.12525436991905,304.5595986145704,-0.5082782028271463,-0.4000042667273992,4.662512977298046
1813425,1.813425,0.8483532232985,0.223710012396,15.307043676872018,157.613260884951,306.2720235562183,-0.5109962851876635,-0.3985711149596785,4.682716745183065
1814763,1.814763,0.8487513342190001,0.2212975746535,15.276943965085943,160.50973358669316,308.0046573841694,-0.5137151891455053,-0.3971313090584553,4.703206576299019
1816100,1.8161,0.849785654945,0.2195274258835,15.350995136526356,162.29717053093813,310.25699544170135,-0.5164219455847825,-0.39564596550943915,4.723431167706694
1817438,1.817438,0.8501574450095,0.217408057353,15.328634049286508,164.9233888222888,311.8344881835451,-0.5191307265240143,-0.3941595110078807,4.744017623755219
1818775,1.818775,0.8507974750425,0.215273845957,15.341193711725628,167.483006377829,313.7909578043812,-0.5217966935515267,-0.3926849660559918,4.764506273861321
1820113,1.820113,0.8515108637365001,0.2132712923125,15.36833299255896,169.87423649890587,315.7999550965981,-0.5243963220248761,-0.3912274086003458,4.784620053612581
1821450,1.82145,0.8520219219025,0.21122245828300001,15.36840068201794,172.48181164006965,317.56835730024807,-0.5269940075770945,-0.3897709405000479,4.805050198951878
1822788,1.822788,0.8530699160474999,0.209110235952,15.43727391684651,174.95425003717818,320.15387889444634,-0.5295636208181379,-0.3882849402704566,4.825135651550796
1824125,1.824125,0.8533513488855,0.20684085534,15.401685139144494,178.10858461151116,321.73616595084076,-0.5321145343824857,-0.3867841505049316,4.84514578482978
1825463,1.825463,0.854115714253,0.2050571674295,15.445485053657052,180.35330788641417,323.7881076864029,-0.5346673558851762,-0.38528223823397234,4.865501783475015
1826800,1.8268,0.8545838557609999,0.203056591123,15.444211251169861,183.12150236545,325.526837721675,-0.5372007929344008,-0.38379445280259505,4.886062262365985
1828138,1.828138,0.8552275376725,0.2006777729175,15.455005367474742,186.4379591461636,327.7408031319925,-0.5397343686945113,-0.3823068613539319,4.906961578017242
1829475,1.829475,0.8560254159995,0.1988020584975,15.50260545886589,188.95823977337557,329.95677877229537,-0.5422618065833734,-0.38079756253385905,4.927892948693947
1830813,1.830813,0.856523936707,0.1967432720235,15.505658269176216,191.97687326658374,331.81368869357715,-0.5447712168287168,-0.37918004744947387,4.9478104766285504
1832150,1.83215,0.857396534802,0.194656914388,15.558434480918875,194.90925493542906,334.3066019090207,-0.5472787515806032,-0.3775637412702339,4.968051585590963
1833488,1.833488,0.8576227796060001,0.1926867097455,15.529236455584186,198.04635361313532,335.69440118173605,-0.5497472892882916,-0.3760181872394525,4.988774520486557
1834825,1.834825,0.8584022239469999,0.19024968002499998,15.560710220177675,201.75233528805154,338.25249639634814,-0.5521626712866458,-0.3745641271456566,5.009968068796295
1836163,1.836163,0.8589287217325,0.1881721644615,15.569916365251578,205.05625079422057,340.2144459226938,-0.5545798598534354,-0.3731089794975647,5.031506928307449
1837500,1.8375,0.8596041657044999,0.18598251312550002,15.596615147183076,208.55355263358857,342.50617005566164,-0.5569798628442381,-0.37157954636790014,5.052362760039697
1838838,1.838838,0.8597460961995,0.183836640069,15.553690038737125,212.31830109298275,343.8315354853627,-0.5593753912930238,-0.37001824174929004,5.0731570114911895
1840175,1.840175,0.8607059618835,0.181761047096,15.623512753404171,215.626018996605,346.60825403299066,-0.561769129361803,-0.36845810402501367,5.094269337749177
1841513,1.841513,0.861335749665,0.1799803128525,15.658162715039243,218.6214723060654,348.6592723628763,-0.5641421227044492,-0.36686515316484297,5.1150599612119665
1842850,1.84285,0.8614415618594999,0.17777700802,15.610516869585641,222.73615885750766,349.9333490710214,-0.5665128260355308,-0.3652726675621519,5.136154808066178
