frequency_hz,frequency_mhz,s11_real,s11_imag,s11_magnitude,phase_deg,swr,return_loss_db,resistance_ohm,reactance_ohm
500000,0.5,0.11788769369955943,0.8789219910508372,0.886792746180622,82.360648293663,16.666712445750132,1.0435573600146109,6.887496632769145,56.6817529346901
501338,0.501338,0.12413913058934305,0.8773096027289919,0.8860489054132281,81.94612687836107,16.55138910470959,1.0508461318992317,6.992345186919204,57.08661439364595
502675,0.502675,0.13172794639322014,0.8749688025576837,0.8848291684332077,81.43832842654233,16.3655080265711,1.062811385326642,7.143207991055844,57.58393819373341
504013,0.504013,0.13953508160998282,0.8735134039189416,0.8845878734337029,80.92424550121468,16.32920152763258,1.065180370929602,7.233623748237761,58.10154072577604
505350,0.50535,0.14638208677821515,0.8694906910873862,0.8817265886980868,80.44364897247749,15.909971378898145,1.0933212549098126,7.495170070393666,58.564276105701545
506688,0.506688,0.1544943948473002,0.8674562389979362,0.8811066022994483,79.90147856245078,15.821791947078982,1.0994308898828886,7.620868328610424,59.11679523295955
508025,0.508025,0.16272566055778134,0.864773809406446,0.8799507838733384,79.34318975643683,15.65983389587349,1.1108323499501858,7.788409402369482,59.686414099013604
509363,0.509363,0.17000158797908183,0.8623155307212734,0.8789133145188557,78.84741635314458,15.517092627095165,1.121079128390021,7.941141300634551,60.197158557929576
510700,0.5107,0.17765852032972274,0.8596663879153259,0.8778319021071915,78.32363714964566,15.370885971842014,1.131772802075314,8.104844256597895,60.742140360571554
512038,0.512038,0.18375496673630262,0.8562560531644009,0.8757512868280223,77.8878726910487,15.096746187074938,1.1523843171588992,8.326948109226853,61.18604137955815
513375,0.513375,0.19283360434737798,0.8534827074239434,0.8749957318966223,77.26850952344573,14.99945370142092,1.1598813079712427,8.49242416200844,61.848799462490945
514713,0.514713,0.20093030600568984,0.8509329436284898,0.8743339536034196,76.71413966283392,14.91519791820572,1.166453120639242,8.643045176522884,62.449244953785545
516050,0.51605,0.20849781526418357,0.8455180282931758,0.8708456092435198,76.14769191237521,14.48534268394319,1.2011766701551025,9.006715670017307,63.03361235322619
517388,0.517388,0.2158054639536247,0.8436522646050929,0.8708163651686508,75.65146839017,14.48183717396576,1.2014683579919336,9.108200706356367,63.58979193359351
518725,0.518725,0.22299059452308842,0.8419282928303023,0.870958125005966,75.16542935590886,14.498844852436207,1.200054500673785,9.196798728293066,64.1426723319268
520063,0.520063,0.23093154396997354,0.8370523261435345,0.8683236578043109,74.57653105420101,14.188757271429404,1.2263673259958183,9.519761154982188,64.7811701749737
521400,0.5214,0.23968123159701504,0.8329757827391363,0.8667731810628078,73.94730680521833,14.011992449830013,1.241890694082274,9.776623336954955,65.48895237479067
