frequency_hz,frequency_mhz,swr,return_loss_db,resistance_ohm,reactance_ohm
6800000,6.8,1.8522190616707235,10.49263268214899,77.44480875307727,27.66106347348885
6800375,6.800375,1.8520805635146194,10.493622601944523,77.45198755162863,27.649612744978842
6800750,6.80075,1.850526527084647,10.504744470787413,77.41278149022959,27.597528567494756
6801125,6.801125,1.8491105093946005,10.514901570741056,77.36021773020596,27.56081909293281
6801500,6.8015,1.8477528437620545,10.524660778738236,77.32700062713575,27.514629624108665
6801875,6.801875,1.8457564539296425,10.539048178224446,77.24262315270794,27.469415627771998
6802250,6.80225,1.8452140561772936,10.542964693519224,77.25176605832583,27.436614264542538
6802625,6.802625,1.8436428030594254,10.554328733985995,77.20675000751906,27.387320333755877
6803000,6.803,1.8427874592861426,10.560526525163471,77.16224618998537,27.373294002477454
6803375,6.803375,1.840728645228313,10.575478114098761,77.11129819613932,27.303529318933833
6803750,6.80375,1.8394435405167122,10.584834920314988,77.07539089686323,27.262596790836334
6804125,6.804125,1.8385887096248132,10.591069201638533,77.07572702927463,27.219793706980596
6804500,6.8045,1.837060617839518,10.602234111220914,77.01237716018422,27.184372789686726
6804875,6.804875,1.8363338852560387,10.607553204942173,76.97966498818373,27.169182507481008
6805250,6.80525,1.8338366376533395,10.62587674624639,76.90588011193141,27.092140533487985
6805625,6.805625,1.8333460157361168,10.629485031499657,76.8822435894323,27.08287882893791
6806000,6.806,1.8319970533082333,10.639420179722581,76.86158628694096,27.028885003874564
6806375,6.806375,1.830691527272671,10.649055282730089,76.79965486777054,27.003619719638987
6806750,6.80675,1.8295684232807528,10.657359752099287,76.77788938184125,26.96158717701131
6807125,6.807125,1.8272555468240608,10.67450753927065,76.72155914618952,26.882391490432624
6807500,6.8075,1.8270293911633073,10.67618759525776,76.71553228581055,26.874979687074752
6807875,6.807875,1.8255481678480479,10.68720594649931,76.6761832908372,26.826344665480153
6808250,6.80825,1.8243386496040719,10.696222133782577,76.62732430276469,26.79743349430681
6808625,6.808625,1.8228913761473324,10.707033120081316,76.57737447876316,26.75732837284798
6809000,6.809,1.8208348272797312,10.722437641999408,76.49027393672958,26.71073619273239
6809375,6.809375,1.8206629109594055,10.723727633046297,76.51219890203119,26.687969263044355
6809750,6.80975,1.818717785621407,10.73834741633168,76.46086530743173,26.623805257810574
6810125,6.810125,1.8180240341176888,10.743572580558903,76.42156379965785,26.614506781126543
6810500,6.8105,1.8160195508872559,10.758702032003136,76.36433452595372,26.551162903396246
6810875,6.810875,1.8147869010033812,10.768029658042709,76.34170268987937,26.504050496177697
6811250,6.81125,1.8140024862725685,10.773974908445878,76.33820953948396,26.46696545644366
6811625,6.811625,1.8123574998253016,10.786466639491326,76.26258388655144,26.433547334846846
6812000,6.812,1.8115036703665386,10.792963327263996,76.2372478134112,26.407157268035995
6812375,6.812375,1.8093807607870498,10.809154541695216,76.15265816256142,26.35554832268454
6812750,6.81275,1.8087303391263998,10.814126193006262,76.13329675140668,26.335477422899665
6813125,6.813125,1.8072591294873148,10.825390752398942,76.11542832640575,26.27321231641922
6813500,6.8135,1.8062548183324152,10.833095619058232,76.05777599552738,26.26025278517257
6813875,6.813875,1.80493847593168,10.843213054028958,76.02541463731558,26.215168894335708
6814250,6.81425,1.8029237586692028,10.858739517362348,75.96368660788261,26.154074038204275
6814625,6.814625,1.8025309729547676,10.861772368371895,75.96210978229558,26.135349356218708
6815000,6.815,1.8008154643837606,10.875040890938472,75.91988377722713,26.07655992920705
6815375,6.815375,1.799991631409827,10.881425788022911,75.8846318975809,26.05808899249298
6815750,6.81575,1.7986012527207926,10.892220741696939,75.83435961014132,26.020891703255987
6816125,6.816125,1.7964954759803495,10.908616153888545,75.74203921805176,25.975081381499137
6816500,6.8165,1.7963294267106311,10.90991136930851,75.75841121563884,25.95605302052237
6816875,6.816875,1.794295012590271,10.92580839987206,75.70099061448116,25.891054644656368
6817250,6.81725,1.793832269912891,10.92943159955422,75.66628666262952,25.89039307939067
6817625,6.817625,1.7920959172994715,10.943051175622395,75.63365704460678,25.82420307781622
