frequency_hz,frequency_mhz,s11_real,s11_imag,s11_magnitude,phase_deg,swr,return_loss_db,resistance_ohm,reactance_ohm
50000000,50.0,4.5739371709539915e-05,0.00025753196427862117,0.0002615622349453156,79.92891062744049,1.000523261335295,71.64849920839444,50.004567513208556,0.025755550751219977
50028750,50.02875,3.0730065520555526e-05,0.00027647658565968405,0.0002781791497307702,83.65767010698364,1.0005565131098053,71.11350849307775,50.00306545635425,0.02764935575938881
50057500,50.0575,4.955629706862047e-05,0.00029942414022528626,0.00030349735143622795,80.60243017411138,1.0006071789800848,70.35690189155373,50.004946908487895,0.02994537922845826
50086250,50.08625,4.926654702965226e-05,0.0002717687088094135,0.0002761981602838091,79.72494076692648,1.0005525489335667,71.17558437041575,50.0049195105199,0.02717954689238854
50115000,50.115,3.834011331871486e-05,0.0002725683834645898,0.0002752516811098373,81.99317183750777,1.000550654930915,71.20540039756953,50.003826728127535,0.02725892650188969
50143750,50.14375,4.6419773077177805e-05,0.00026329311466722434,0.00026735380970486437,80.00124665240396,1.000534850613759,71.45827245928763,50.004635259505825,0.02633175421269029
50172500,50.1725,3.964390846415635e-05,0.00027315922982442347,0.0002760210215121062,81.7422542665733,1.000552194460303,71.18115682398174,50.00395708553317,0.027318086892615126
50201250,50.20125,4.942368607852802e-05,0.0002523338817753897,0.0002571285449681253,78.91798557196498,1.0005143893541226,71.79699415489081,50.00493624470745,0.025235881009588332
50230000,50.23,2.5876384717902268e-05,0.000294399114963123,0.0002955341370758021,84.97686259712813,1.0005912430066435,70.58784693271923,50.00257903767625,0.029441432600558256
50258750,50.25875,3.705930895586582e-05,0.0002805836439901936,0.00028302044741520356,82.47596043095459,1.0005662011413308,70.96364373624212,50.00369819464706,0.028060441952537367
50287500,50.2875,6.208383448019586e-05,0.00023781370829820635,0.0002457839749827249,75.36886824104164,1.000491688799193,72.18892872707517,50.00620311232305,0.023784322636914983
50316250,50.31625,3.7921080825114015e-05,0.0003021105668297642,0.00030448120296850225,82.8456197558828,1.0006091478800163,70.32879026417115,50.00378312377176,0.03021334532735365
50345000,50.345,4.349486850752783e-05,0.0002658292493459383,0.0002693640536417437,80.70762829719304,1.0005388732603693,71.39320721803982,50.00434260859871,0.026585235648306595
